District,Confirmed,State,Week
AP_Prakasam,37,Andhra Pradesh,49
AP_Prakasam,126,Andhra Pradesh,50
AP_Prakasam,324,Andhra Pradesh,51
AP_Prakasam,792,Andhra Pradesh,52
AP_Prakasam,2151,Andhra Pradesh,53
AP_Prakasam,2370,Andhra Pradesh,54
AP_Prakasam,4457,Andhra Pradesh,55
AP_Prakasam,9490,Andhra Pradesh,56
AP_Prakasam,8000,Andhra Pradesh,57
AP_Prakasam,9232,Andhra Pradesh,58
AP_Prakasam,6703,Andhra Pradesh,59
AP_Prakasam,4749,Andhra Pradesh,60
AP_Prakasam,3876,Andhra Pradesh,61
AP_Prakasam,3184,Andhra Pradesh,62
AP_Prakasam,2182,Andhra Pradesh,63
AP_Prakasam,2362,Andhra Pradesh,64
AP_Prakasam,2104,Andhra Pradesh,65
AP_Prakasam,1926,Andhra Pradesh,66
AP_Prakasam,1810,Andhra Pradesh,67
AP_Prakasam,1517,Andhra Pradesh,68
AP_Prakasam,1329,Andhra Pradesh,69
AP_Prakasam,825,Andhra Pradesh,70
AP_S.P.S. Nellore,0,Andhra Pradesh,1
AP_S.P.S. Nellore,0,Andhra Pradesh,2
AP_S.P.S. Nellore,90,Andhra Pradesh,3
AP_S.P.S. Nellore,6,Andhra Pradesh,4
AP_S.P.S. Nellore,53,Andhra Pradesh,5
AP_S.P.S. Nellore,33,Andhra Pradesh,6
AP_S.P.S. Nellore,57,Andhra Pradesh,7
AP_S.P.S. Nellore,65,Andhra Pradesh,8
AP_S.P.S. Nellore,79,Andhra Pradesh,9
AP_S.P.S. Nellore,76,Andhra Pradesh,10
AP_S.P.S. Nellore,102,Andhra Pradesh,11
AP_S.P.S. Nellore,124,Andhra Pradesh,12
AP_S.P.S. Nellore,346,Andhra Pradesh,13
AP_S.P.S. Nellore,964,Andhra Pradesh,14
AP_S.P.S. Nellore,2030,Andhra Pradesh,15
AP_S.P.S. Nellore,3850,Andhra Pradesh,16
AP_S.P.S. Nellore,4649,Andhra Pradesh,17
AP_S.P.S. Nellore,4217,Andhra Pradesh,18
AP_S.P.S. Nellore,4635,Andhra Pradesh,19
AP_S.P.S. Nellore,7190,Andhra Pradesh,20
AP_S.P.S. Nellore,7413,Andhra Pradesh,21
AP_S.P.S. Nellore,6551,Andhra Pradesh,22
AP_S.P.S. Nellore,4753,Andhra Pradesh,23
AP_S.P.S. Nellore,3210,Andhra Pradesh,24
AP_S.P.S. Nellore,3358,Andhra Pradesh,25
AP_S.P.S. Nellore,2539,Andhra Pradesh,26
AP_S.P.S. Nellore,1539,Andhra Pradesh,27
AP_S.P.S. Nellore,959,Andhra Pradesh,28
AP_S.P.S. Nellore,608,Andhra Pradesh,29
AP_S.P.S. Nellore,780,Andhra Pradesh,30
AP_S.P.S. Nellore,578,Andhra Pradesh,31
AP_S.P.S. Nellore,261,Andhra Pradesh,32
AP_S.P.S. Nellore,251,Andhra Pradesh,33
AP_S.P.S. Nellore,220,Andhra Pradesh,34
AP_S.P.S. Nellore,167,Andhra Pradesh,35
AP_S.P.S. Nellore,158,Andhra Pradesh,36
AP_S.P.S. Nellore,132,Andhra Pradesh,37
AP_S.P.S. Nellore,67,Andhra Pradesh,38
AP_S.P.S. Nellore,105,Andhra Pradesh,39
AP_S.P.S. Nellore,43,Andhra Pradesh,40
AP_S.P.S. Nellore,23,Andhra Pradesh,41
AP_S.P.S. Nellore,39,Andhra Pradesh,42
AP_S.P.S. Nellore,35,Andhra Pradesh,43
AP_S.P.S. Nellore,37,Andhra Pradesh,44
AP_S.P.S. Nellore,35,Andhra Pradesh,45
AP_S.P.S. Nellore,43,Andhra Pradesh,46
AP_S.P.S. Nellore,33,Andhra Pradesh,47
AP_S.P.S. Nellore,30,Andhra Pradesh,48
AP_S.P.S. Nellore,61,Andhra Pradesh,49
AP_S.P.S. Nellore,243,Andhra Pradesh,50
AP_S.P.S. Nellore,605,Andhra Pradesh,51
AP_S.P.S. Nellore,1381,Andhra Pradesh,52
AP_S.P.S. Nellore,2180,Andhra Pradesh,53
AP_S.P.S. Nellore,6036,Andhra Pradesh,54
AP_S.P.S. Nellore,9239,Andhra Pradesh,55
AP_S.P.S. Nellore,9045,Andhra Pradesh,56
AP_S.P.S. Nellore,10675,Andhra Pradesh,57
AP_S.P.S. Nellore,8742,Andhra Pradesh,58
AP_S.P.S. Nellore,6287,Andhra Pradesh,59
AP_S.P.S. Nellore,3791,Andhra Pradesh,60
