District Id,Cases,Week
AP_Y.S.R. Kadapa,6,5
AP_Y.S.R. Kadapa,5,6
AP_Y.S.R. Kadapa,6,7
AP_Y.S.R. Kadapa,37,8
AP_Y.S.R. Kadapa,92,9
AP_Y.S.R. Kadapa,88,10
AP_Y.S.R. Kadapa,353,11
AP_Y.S.R. Kadapa,510,12
AP_Y.S.R. Kadapa,499,13
AP_Y.S.R. Kadapa,728,14
AP_Y.S.R. Kadapa,1941,15
AP_Y.S.R. Kadapa,4062,16
AP_Y.S.R. Kadapa,4191,17
AP_Y.S.R. Kadapa,3908,18
AP_Y.S.R. Kadapa,3553,19
AP_Y.S.R. Kadapa,4672,20
AP_Y.S.R. Kadapa,5830,21
AP_Y.S.R. Kadapa,5003,22
AP_Y.S.R. Kadapa,3684,23
AP_Y.S.R. Kadapa,3125,24
AP_Y.S.R. Kadapa,2659,25
AP_Y.S.R. Kadapa,2553,26
AP_Y.S.R. Kadapa,1996,27
AP_Y.S.R. Kadapa,1417,28
AP_Y.S.R. Kadapa,1066,29
AP_Y.S.R. Kadapa,950,30
AP_Y.S.R. Kadapa,538,31
AP_Y.S.R. Kadapa,418,32
AP_Y.S.R. Kadapa,292,33
AP_Y.S.R. Kadapa,207,34
AP_Y.S.R. Kadapa,144,35
AP_Y.S.R. Kadapa,145,36
AP_Y.S.R. Kadapa,124,37
AP_Y.S.R. Kadapa,126,38
AP_Y.S.R. Kadapa,76,39
AP_Y.S.R. Kadapa,58,40
AP_Y.S.R. Kadapa,54,41
AP_Y.S.R. Kadapa,43,42
AP_Y.S.R. Kadapa,26,43
AP_Y.S.R. Kadapa,30,44
AP_Y.S.R. Kadapa,23,45
AP_Y.S.R. Kadapa,31,46
AP_Y.S.R. Kadapa,42,47
AP_Y.S.R. Kadapa,48,48
AP_Y.S.R. Kadapa,79,49
AP_Y.S.R. Kadapa,138,50
AP_Y.S.R. Kadapa,305,51
AP_Y.S.R. Kadapa,697,52
AP_Y.S.R. Kadapa,1436,53
AP_Y.S.R. Kadapa,2094,54
AP_Y.S.R. Kadapa,3795,55
AP_Y.S.R. Kadapa,6648,56
AP_Y.S.R. Kadapa,10693,57
AP_Y.S.R. Kadapa,7313,58
AP_Y.S.R. Kadapa,5056,59
AP_Y.S.R. Kadapa,3857,60
AP_Y.S.R. Kadapa,3576,61
AP_Y.S.R. Kadapa,2833,62
AP_Y.S.R. Kadapa,1759,63
AP_Y.S.R. Kadapa,1194,64
AP_Y.S.R. Kadapa,1090,65
AP_Y.S.R. Kadapa,960,66
AP_Y.S.R. Kadapa,648,67
AP_Y.S.R. Kadapa,713,68
AP_Y.S.R. Kadapa,648,69
AP_Y.S.R. Kadapa,619,70
AR_Anjaw,0,1
AR_Anjaw,0,2
AR_Anjaw,0,3
AR_Anjaw,0,4
AR_Anjaw,0,5
AR_Anjaw,0,6
AR_Anjaw,0,7
AR_Anjaw,0,8
AR_Anjaw,0,9
AR_Anjaw,0,10
AR_Anjaw,0,11
AR_Anjaw,4,12
AR_Anjaw,0,13
AR_Anjaw,0,14
AR_Anjaw,0,15
AR_Anjaw,0,16
AR_Anjaw,0,17
AR_Anjaw,30,18
AR_Anjaw,6,19
AR_Anjaw,6,20
AR_Anjaw,6,21
AR_Anjaw,26,22
AR_Anjaw,677,23
AR_Anjaw,14,24
AR_Anjaw,41,25
AR_Anjaw,5,26
AR_Anjaw,9,27
AR_Anjaw,1,28
AR_Anjaw,6,29
AR_Anjaw,7,30
AR_Anjaw,9,31
AR_Anjaw,3,32
AR_Anjaw,4,33
AR_Anjaw,2,34
AR_Anjaw,3,35
AR_Anjaw,7,36
AR_Anjaw,0,37
